# participant,task,method,experience,safety score,hinderance score,logic score,coworker score,avg. robot time,std. robot time,avg. separation,std. separation,avg. time under 0.3m,std. time under 0.3m
1.300000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+01,7.000000000000000000e+00,8.000000000000000000e+00,6.000000000000000000e+00,8.000000000000000000e+00,7.946671999999999514e+01,6.723103846706519171e+00,3.430065811742136761e-01,2.532919981017156194e-02,3.040666666666666629e+01,4.689060555046062895e+00
1.400000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,9.000000000000000000e+00,3.000000000000000000e+00,9.000000000000000000e+00,1.000000000000000000e+01,7.898006000000000881e+01,8.148301183584221619e+00,3.820666569965869286e-01,3.826621661727230145e-02,2.759333333333333371e+01,7.611319056364525437e+00
1.500000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,8.000000000000000000e+00,8.000000000000000000e+00,7.000000000000000000e+00,9.000000000000000000e+00,7.800007999999999697e+01,5.555287211441010342e+00,3.589129745144588601e-01,1.420255041723080848e-02,2.780000000000000071e+01,3.810570094414279740e+00
1.600000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+00,1.000000000000000000e+01,5.000000000000000000e+00,8.000000000000000000e+00,7.764005999999999119e+01,3.920628645816894409e+00,3.354114805375252306e-01,9.761796428900494649e-03,3.097999999999999687e+01,3.745492105332903332e+00
1.700000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+01,6.000000000000000000e+00,8.000000000000000000e+00,4.000000000000000000e+00,7.000000000000000000e+00,7.329339999999999122e+01,4.215079543258940298e+00,4.183565368512961458e-01,2.682433313516044762e-02,2.005333333333333456e+01,4.545307714800200571e+00
1.800000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,7.000000000000000000e+00,9.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+01,7.938007999999999242e+01,4.392637942011608843e+00,3.292189672619366125e-01,2.625107784610780995e-02,3.220000000000000284e+01,4.042606419955653507e+00
1.900000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,7.821338000000000079e+01,3.557366516624344221e+00,4.028916140565875770e-01,1.957981550524698355e-02,2.344666666666666544e+01,1.497642591986930505e+00
2.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,7.000000000000000000e+00,6.000000000000000000e+00,7.000000000000000000e+00,6.000000000000000000e+00,7.748673999999999751e+01,4.922213702634210541e+00,3.486557599083098813e-01,1.735341104874542351e-02,2.860666666666666558e+01,3.380230103936054498e+00
3.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,9.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01,3.000000000000000000e+00,7.000000000000000000e+00,7.760005999999999915e+01,5.285520388608865083e+00,3.443571371768334166e-01,2.224098592671921656e-02,2.875333333333333030e+01,5.186418160284932632e+00
4.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e+00,6.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e+00,6.371342000000000638e+01,1.349296751487974255e+01,4.149037543168182518e-01,3.918439987750162862e-02,1.759999999999999787e+01,2.644659188292930008e+00
5.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+00,8.000000000000000000e+00,7.000000000000000000e+00,8.000000000000000000e+00,5.851341999999999643e+01,2.760562742792852831e+01,4.359683545280850225e-01,5.151157401237956013e-02,1.826666666666666927e+01,9.311474402883549217e+00
6.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,9.000000000000000000e+00,7.000000000000000000e+00,9.000000000000000000e+00,8.000000000000000000e+00,7.000000000000000000e+00,8.266006000000000142e+01,4.042622790021348500e+00,3.022951638365517502e-01,1.186864224647320339e-02,3.621999999999999886e+01,4.189065130392060965e+00
